# InputID	ID	Mag	Magerr	RA	Decl	MJD	Blend
DESJ0407-5006	3049021004248	17.82	0.23	61.79285	-50.10032	53687.60086	0
DESJ0407-5006	3049021004248	18.00	0.25	61.79286	-50.10029	53687.60958	0
DESJ0407-5006	3049021004248	17.99	0.30	61.79268	-50.10027	53653.63021	0
DESJ0407-5006	3049021004248	17.85	0.28	61.79267	-50.10029	53653.63987	0
DESJ0407-5006	3049021004248	17.99	0.30	61.79269	-50.10031	53653.64965	0
DESJ0407-5006	3049021004248	17.92	0.29	61.79284	-50.10030	53653.65954	0
DESJ0407-5006	3049021004248	17.91	0.21	61.79286	-50.10030	53627.64888	0
DESJ0407-5006	3049021004248	17.90	0.21	61.79281	-50.10037	53627.66098	0
DESJ0407-5006	3049021004248	17.82	0.20	61.79283	-50.10035	53627.67308	0
DESJ0407-5006	3049021004248	17.81	0.20	61.79272	-50.10028	53627.68520	0
DESJ0407-5006	3049021004248	18.08	0.28	61.79259	-50.10036	54078.59364	0
DESJ0407-5006	3049021004248	17.61	0.21	61.79277	-50.10034	54078.60735	0
DESJ0407-5006	3049021004248	17.71	0.22	61.79257	-50.10018	54078.62106	0
DESJ0407-5006	3049021004248	17.30	0.19	61.79263	-50.10043	54078.63474	0
DESJ0407-5006	3049021004248	17.95	0.25	61.79272	-50.10027	54086.56857	0
DESJ0407-5006	3049021004248	17.65	0.22	61.79284	-50.10037	54086.57723	0
DESJ0407-5006	3049021004248	17.92	0.25	61.79276	-50.10027	54086.58589	0
DESJ0407-5006	3049021004248	17.91	0.25	61.79276	-50.10027	54086.59458	0
DESJ0407-5006	3049021004248	17.96	0.21	61.79280	-50.10035	53757.49176	0
DESJ0407-5006	3049021004248	18.00	0.21	61.79279	-50.10032	53757.50273	0
DESJ0407-5006	3049021004248	17.97	0.21	61.79279	-50.10033	53757.51368	0
DESJ0407-5006	3049021004248	17.84	0.20	61.79272	-50.10028	53757.52461	0
DESJ0407-5006	3049021004248	17.90	0.25	61.79278	-50.10041	54049.59182	0
DESJ0407-5006	3049021004248	17.78	0.23	61.79282	-50.10030	54049.60184	0
DESJ0407-5006	3049021004248	17.92	0.25	61.79269	-50.10038	54049.61188	0
DESJ0407-5006	3049021004248	17.94	0.25	61.79262	-50.10034	54049.62765	0
DESJ0407-5006	3049021004248	17.93	0.20	61.79284	-50.10025	54062.52278	0
DESJ0407-5006	3049021004248	18.01	0.20	61.79276	-50.10035	54062.53068	0
DESJ0407-5006	3049021004248	17.84	0.19	61.79290	-50.10034	54062.53858	0
